# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 11 13:38:36 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.0056 -0.43462 10.11394 0.0900000036 1.0816895962    0.090 -3.337  3.4005  5.283    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.41e-17      0.00 7.340e-01 2.604e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 13.112 14.873 17.887 17.903 13.400 20.458 17.924 10.922 10.444 10.235
0.0056 -0.43462 10.11394 0.1000000015 1.1711064577    0.100 -3.129  3.4307  5.242    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.08e-17      0.00 7.331e-01 2.612e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 12.592 14.208 16.915 16.935 12.774 19.322 16.942 10.444 9.949 9.724
0.0056 -0.43462 10.11394 0.1168211922 1.2979969978    0.117 -2.903  3.4578  5.191    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-16      0.00 7.319e-01 2.625e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 12.027 13.369 15.569 15.594 12.013 17.712 15.575 9.955 9.432 9.195
0.0056 -0.43462 10.11394 0.1199999973 1.3193154335    0.120 -2.864  3.4625  5.182    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-16      0.00 7.317e-01 2.627e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 11.929 13.224 15.340 15.366 11.885 17.445 15.344 9.871 9.344 9.106
0.0056 -0.43462 10.11394 0.1400000006 1.4384527206    0.140 -2.678  3.4820  5.142    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-16      0.00 7.304e-01 2.640e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 11.464 12.570 14.360 14.389 11.299 16.319 14.355 9.463 8.922 8.684
0.0056 -0.43462 10.11394 0.1599999964 1.5372931957    0.160 -2.534  3.4953  5.109    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-16      0.00 7.293e-01 2.651e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 11.105 12.088 13.683 13.714 10.867 15.560 13.674 9.143 8.595 8.359
0.0056 -0.43462 10.11394 0.1999999881 1.6938791275    0.200 -2.309  3.5133  5.053    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-16      0.00 7.276e-01 2.668e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 10.542 11.376 12.758 12.792 10.221 14.531 12.744 8.631 8.076 7.845
0.0056 -0.43462 10.11394 0.2500000000 1.8403258324    0.250 -2.095  3.5276  4.994    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-18      0.00 7.268e-01 2.676e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 10.008 10.738 11.985 12.020 9.632 13.679 11.967 8.137 7.575 7.349
0.0056 -0.43462 10.11394 0.3000000119 1.9529139996    0.300 -1.932  3.5374  4.949    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.9e-18      0.00 7.268e-01 2.676e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 9.600 10.269 11.443 11.479 9.193 13.086 11.424 7.755 7.187 6.965
0.0056 -0.43462 10.11394 0.3499999642 2.0434174538    0.350 -1.791  3.5458  4.908    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.26e-22      0.00 7.355e-01 2.588e-01 1.018e-03 2.746e-04 2.490e-03 -1.000 5.660e-03 9.247 9.867 10.984 11.020 8.815 12.587 10.963 7.425 6.850 6.632
