# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Sun Oct  3 12:22:12 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Weiler 2018)
# Attention: photometry includes extinction of Av=0.132, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 9.53908 0.0900000036 1.0816895962    0.090 -3.424  3.3622  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-17      0.00 7.088e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.330 15.455 18.441 18.461 13.960
0.0152 0.01508 9.53908 0.0955673829 1.1329748631    0.096 -3.320  3.3770  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.9e-17      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.071 15.194 18.173 18.193 13.700
0.0152 0.01508 9.53908 0.1000000015 1.1711064577    0.100 -3.242  3.3881  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.874 14.997 17.970 17.991 13.504
0.0152 0.01508 9.53908 0.1200000122 1.3193155527    0.120 -2.977  3.4228  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.084e-01 2.764e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.213 14.258 17.105 17.127 12.783
0.0152 0.01508 9.53908 0.1400000006 1.4384527206    0.140 -2.794  3.4431  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.081e-01 2.766e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.754 13.527 15.996 16.022 12.113
0.0152 0.01508 9.53908 0.1599999964 1.5372931957    0.160 -2.653  3.4566  5.073    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.079e-01 2.769e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.402 13.005 15.236 15.264 11.633
0.0152 0.01508 9.53908 0.2000000030 1.6938791275    0.200 -2.437  3.4754  5.029    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-16      0.00 7.074e-01 2.773e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.862 12.251 14.187 14.217 10.940
0.0152 0.01508 9.53908 0.2500000000 1.8403258324    0.250 -2.232  3.4918  4.987    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.73e-16      0.00 7.070e-01 2.777e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.350 11.565 13.269 13.301 10.311
0.0152 0.01508 9.53908 0.3000000119 1.9529139996    0.300 -2.073  3.5026  4.951    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-16      0.00 7.068e-01 2.779e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.952 11.073 12.655 12.688 9.852
0.0152 0.01508 9.53908 0.3340678513 2.0165045261    0.334 -1.963  3.5086  4.912    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.29e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.678 10.749 12.271 12.304 9.547
