# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 11 12:25:36 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Weiler 2018)
# Attention: photometry includes extinction of Av=0.3, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 7.85000 0.0900000036 1.0816895962    0.090 -2.666  3.3891  4.567    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.76e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.436 13.687 16.497 16.521 12.200
0.02 0.14251 7.85000 0.0941267759 1.1200838089    0.094 -2.635  3.3933  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.97e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.357 13.608 16.419 16.443 12.121
0.02 0.14251 7.85000 0.1000000015 1.1711064577    0.100 -2.589  3.3993  4.577    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.33e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.243 13.495 16.306 16.330 12.007
0.02 0.14251 7.85000 0.1042327210 1.2055214643    0.104 -2.560  3.4031  4.580    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.56e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.170 13.421 16.234 16.258 11.934
0.02 0.14251 7.85000 0.1177582592 1.3043590784    0.118 -2.470  3.4147  4.590    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.37e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.945 13.196 16.011 16.035 11.709
0.02 0.14251 7.85000 0.1200000048 1.3193155527    0.120 -2.456  3.4166  4.592    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.5e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.910 13.149 15.950 15.974 11.664
0.02 0.14251 7.85000 0.1310642809 1.3881524801    0.131 -2.393  3.4246  4.599    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.13e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.753 12.901 15.587 15.612 11.435
0.02 0.14251 7.85000 0.1400000006 1.4384527206    0.140 -2.345  3.4307  4.604    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.67e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.632 12.693 15.272 15.297 11.246
0.02 0.14251 7.85000 0.1586488783 1.5311330557    0.159 -2.261  3.4402  4.612    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.64e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.423 12.363 14.800 14.826 10.942
0.02 0.14251 7.85000 0.1599999964 1.5372931957    0.160 -2.255  3.4408  4.613    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.72e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.409 12.340 14.768 14.794 10.921
0.02 0.14251 7.85000 0.2000000030 1.6938791275    0.200 -2.105  3.4576  4.626    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.033 11.758 13.940 13.968 10.388
0.02 0.14251 7.85000 0.2500000000 1.8403258324    0.250 -1.960  3.4732  4.641    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.669 11.224 13.200 13.230 9.898
0.02 0.14251 7.85000 0.2970308065 1.9469292164    0.297 -1.846  3.4849  4.648    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.386 10.819 12.650 12.681 9.528
0.02 0.14251 7.85000 0.3148773611 1.9817826748    0.315 -1.807  3.4888  4.651    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.288 10.681 12.462 12.493 9.402
0.02 0.14251 7.85000 0.3499643803 2.0433592796    0.350 -1.736  3.4960  4.654    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.110 10.442 12.152 12.183 9.183
0.02 0.14251 7.85000 0.3634862900 2.0649833679    0.364 -1.708  3.4988  4.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.040 10.349 12.032 12.064 9.097
0.02 0.14251 7.85000 0.3854428530 2.0979578495    0.385 -1.666  3.5030  4.654    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.935 10.211 11.856 11.888 8.970
0.02 0.14251 7.85000 0.4000000358 2.1185026169    0.400 -1.639  3.5055  4.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.868 10.125 11.748 11.780 8.890
0.02 0.14251 7.85000 0.4223502278 2.1482236385    0.422 -1.592  3.5104  4.649    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.750 9.969 11.547 11.580 8.747
0.02 0.14251 7.85000 0.4500000179 2.1822810173    0.450 -1.539  3.5159  4.646    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.6e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.619 9.798 11.330 11.363 8.591
0.02 0.14251 7.85000 0.5000000000 2.2374541759    0.500 -1.435  3.5271  4.633    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.358 9.461 10.905 10.939 8.282
0.02 0.14251 7.85000 0.5016335845 2.2391319275    0.502 -1.432  3.5275  4.633    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.351 9.451 10.891 10.925 8.273
0.02 0.14251 7.85000 0.5472873449 2.2813997269    0.547 -1.330  3.5400  4.619    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.096 9.118 10.470 10.505 7.971
0.02 0.14251 7.85000 0.5500000119 2.2836582661    0.550 -1.324  3.5409  4.618    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.97e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.081 9.097 10.443 10.479 7.952
0.02 0.14251 7.85000 0.5545674562 2.2874040604    0.554 -1.314  3.5424  4.617    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.054 9.062 10.398 10.433 7.921
0.02 0.14251 7.85000 0.5643015504 2.2951548100    0.564 -1.286  3.5461  4.612    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.29e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.986 8.970 10.281 10.316 7.839
0.02 0.14251 7.85000 0.5958090425 2.3182578087    0.596 -1.191  3.5604  4.597    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.28e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.701e-04 8.799e-03 -1.000 2.000e-02 7.747 8.641 9.852 9.890 7.550
0.02 0.14251 7.85000 0.6000000238 2.3211214542    0.600 -1.177  3.5626  4.595    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.44e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.701e-04 8.799e-03 -1.000 2.000e-02 7.712 8.593 9.789 9.827 7.508
